player,role,batting_style,bowling_style,Image,team
MS Dhoni,Wicketkeeper Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302400/302402.jpg",Chennai Super Kings
Akash Singh,Bowler,Right hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315007.jpg",Chennai Super Kings
Moeen Ali,Batting Allrounder,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289600/289661.1.jpg",Chennai Super Kings
Bhagath Varma,Bowling Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356833.1.png",Chennai Super Kings
Deepak Chahar,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315014.jpg",Chennai Super Kings
Devon Conway,Wicketkeeper Batter,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/318500/318588.1.jpg",Chennai Super Kings
Tushar Deshpande,Bowler,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/310600/310643.jpg",Chennai Super Kings
Shivam Dube,Allrounder,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356768.1.png",Chennai Super Kings
Ruturaj Gaikwad,Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356779.1.png",Chennai Super Kings
Rajvardhan Hangargekar,Bowling Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336200/336292.4.jpg",Chennai Super Kings
Ravindra Jadeja,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302394.jpg",Chennai Super Kings
Sisanda Magala,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/324700/324707.1.jpg",Chennai Super Kings
Ajay Mandal,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314902.jpg",Chennai Super Kings
Matheesha Pathirana,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/350000/350094.4.jpg",Chennai Super Kings
Dwaine Pretorius,Bowling Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317962.jpg",Chennai Super Kings
Ajinkya Rahane,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312159.png",Chennai Super Kings
Shaik Rasheed,Batter,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338195.4.jpg",Chennai Super Kings
Ambati Rayudu,Middle order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309096.png",Chennai Super Kings
Mitchell Santner,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356846.1.png",Chennai Super Kings
Subhranshu Senapati,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356837.1.png",Chennai Super Kings
Simarjeet Singh,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356835.1.png",Chennai Super Kings
Nishant Sindhu,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338200/338260.4.jpg",Chennai Super Kings
Prashant Solanki,Bowler,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356836.1.png",Chennai Super Kings
Ben Stokes,Allrounder,Left hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/305000/305019.jpg",Chennai Super Kings
Maheesh Theekshana,Bowler,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336200/336296.4.jpg",Chennai Super Kings
Kyle Jamieson,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303500/303584.jpg",Chennai Super Kings
Mukesh Choudhary,Bowler,Left hand Bat,Left arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356834.1.png",Chennai Super Kings
David Warner,Opening Batter,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/263500/263541.1.jpg",Delhi Capitals
Abishek Porel,Wicketkeeper Batter,Left hand Bat,DNB,https://wassets.hscicdn.com/static/images/player-jersey.svg,Delhi Capitals
Khaleel Ahmed,Bowler,Right hand Bat,Left arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315022.jpg",Delhi Capitals
Aman Hakim Khan,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338165.4.jpg",Delhi Capitals
Yash Dhull,Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336800/336898.4.jpg",Delhi Capitals
Praveen Dubey,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/310700/310753.jpg",Delhi Capitals
Priyam Garg,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309082.png",Delhi Capitals
Sarfaraz Khan,Middle order Batter,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336800/336899.4.jpg",Delhi Capitals
Kuldeep Yadav,Bowler,Left hand Bat,Left arm Wrist spin,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304208.png",Delhi Capitals
Lalit Yadav,Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336900/336900.4.jpg",Delhi Capitals
Mitchell Marsh,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356780.1.png",Delhi Capitals
Mukesh Kumar,Bowler,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/player-jersey.svg,Delhi Capitals
Mustafizur Rahman,Bowler,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/263500/263578.jpg",Delhi Capitals
Lungi Ngidi,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317951.jpg",Delhi Capitals
Anrich Nortje,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317968.jpg",Delhi Capitals
Vicky Ostwal,Bowler,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336900/336901.4.jpg",Delhi Capitals
Manish Pandey,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302500/302572.jpg",Delhi Capitals
Ripal Patel,Middle order Batter,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356826.1.png",Delhi Capitals
Axar Patel,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/329300/329344.4.jpg",Delhi Capitals
Rovman Powell,Middle order Batter,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/246200/246267.1.jpg",Delhi Capitals
Rilee Rossouw,Top order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312176.png",Delhi Capitals
Chetan Sakariya,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317200/317213.jpg",Delhi Capitals
Phil Salt,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312181.png",Delhi Capitals
Ishant Sharma,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302388.jpg",Delhi Capitals
Prithvi Shaw,Opening Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356848.1.png",Delhi Capitals
Kamlesh Nagarkoti,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/271800/271894.4.jpg",Delhi Capitals
Rishabh Pant,Wicketkeeper Batter,Left hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304221.png",Delhi Capitals
Hardik Pandya,Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304201.png",Gujarat Titans 
Srikar Bharat,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314800/314851.png",Gujarat Titans 
Alzarri Joseph,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321900/321943.png",Gujarat Titans 
Josh Little,Bowler,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/257600/257637.1.jpg",Gujarat Titans 
Abhinav Manohar,Batting Allrounder,Right hand Bat,Legbreak Googly,https://wassets.hscicdn.com/static/images/player-jersey.svg,Gujarat Titans 
David Miller,Middle order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317964.jpg",Gujarat Titans 
Mohammed Shami,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304210.png",Gujarat Titans 
Darshan Nalkande,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357411.1.jpg",Gujarat Titans 
